index	N	x	epsilon	
50	5.307956939883008E210	1.0170285628309471E210	-7.195392815632054E212
51	1.1446639620824165E215	2.232585361320581E214	-1.5516623531667194E217
52	2.4690533572977697E219	4.900588079982629E218	-3.3468952134035974E221
53	5.326974136784388E223	1.0756082730323962E223	-7.220794169775807E225
54	1.149540832249473E228	2.3606221768014505E227	-1.558195007637261E230
55	2.4811796102962525E232	5.180430494095335E231	-3.363170722451238E234
56	5.356467736999079E236	1.1367706218471716E236	-7.260437081208573E238
57	1.1565967604893128E241	2.494296349138894E240	-1.5676895061863922E243
58	2.4978452095667646E245	5.472579403824569E244	-3.3856155381506954E247
59	5.395431693502872E249	1.2006197614401754E249	-7.31294945816332E251
60	1.1656313387352304E254	2.6338368764379977E253	-1.5798725401728834E256
61	2.5186506434195645E258	5.777537840188735E257	-3.413684851848688E260
62	5.443069072672485E262	1.2672661036618205E262	-7.377244584662905E264
63	1.1764855095926484E267	2.7794859415836094E266	-1.5945272242363022E269
64	2.5432783087316057E271	6.09583671063404E270	-3.4469456048832062E273
65	5.498745458470965E275	1.3368259743150815E275	-7.452457443208283E277
66	1.1890325136523663E280	2.931498312134503E279	-1.611480726838462E282
67	2.571474891236052E284	6.428033775454781E283	-3.4850524167041532E286
68	5.561954598151617E288	1.4094214429733677E288	-7.537897786696022E290
69	1.2031711798983058E293	3.0901410682169174E292	-1.6305951061434793E295
70	2.6030382399838708E297	6.774713239912329E296	-3.527729659968073E299
71	5.632292685369235E301	1.4851802689042698E301	-7.63301502239029E303
72	1.2188208793784665E306	3.255693550356064E305	-Infinity
73	Infinity	Infinity	-Infinity
74	Infinity	Infinity	-Infinity
75	Infinity	Infinity	-Infinity
76	Infinity	Infinity	-Infinity
77	Infinity	Infinity	NaN
78	Infinity	Infinity	NaN
79	Infinity	Infinity	-Infinity
80	Infinity	Infinity	NaN
81	Infinity	Infinity	NaN
82	Infinity	Infinity	-Infinity
83	Infinity	Infinity	NaN
84	Infinity	Infinity	NaN
85	Infinity	Infinity	NaN
86	Infinity	Infinity	NaN
87	Infinity	Infinity	-Infinity
88	Infinity	Infinity	NaN
89	Infinity	Infinity	NaN
90	Infinity	Infinity	-Infinity
91	Infinity	Infinity	NaN
92	Infinity	Infinity	NaN
93	Infinity	Infinity	-Infinity
94	Infinity	Infinity	NaN
95	Infinity	Infinity	NaN
96	Infinity	Infinity	-Infinity
97	Infinity	Infinity	NaN
98	Infinity	Infinity	NaN
99	Infinity	Infinity	NaN
100	Infinity	Infinity	NaN
101	Infinity	Infinity	-Infinity
102	Infinity	Infinity	NaN
103	Infinity	Infinity	NaN
104	Infinity	Infinity	-Infinity
105	Infinity	Infinity	NaN
106	Infinity	Infinity	NaN
107	Infinity	Infinity	-Infinity
108	Infinity	Infinity	NaN
109	Infinity	Infinity	-Infinity
110	Infinity	Infinity	NaN
111	Infinity	Infinity	NaN
112	Infinity	Infinity	-Infinity
113	Infinity	Infinity	NaN
114	Infinity	Infinity	NaN
115	Infinity	Infinity	NaN
116	Infinity	Infinity	NaN
117	Infinity	Infinity	-Infinity
118	Infinity	Infinity	NaN
119	Infinity	Infinity	NaN
120	Infinity	Infinity	-Infinity
121	Infinity	Infinity	NaN
122	Infinity	Infinity	-Infinity
123	Infinity	Infinity	NaN
124	Infinity	Infinity	NaN
125	Infinity	Infinity	NaN
126	Infinity	Infinity	NaN
127	Infinity	Infinity	-Infinity
128	Infinity	Infinity	NaN
129	Infinity	Infinity	-Infinity
130	Infinity	Infinity	NaN
131	Infinity	Infinity	NaN
132	Infinity	Infinity	NaN
133	Infinity	Infinity	NaN
134	Infinity	Infinity	-Infinity
135	Infinity	Infinity	-Infinity
136	Infinity	Infinity	-Infinity
137	Infinity	Infinity	-Infinity
138	Infinity	Infinity	-Infinity
139	Infinity	Infinity	-Infinity
140	Infinity	Infinity	-Infinity
141	Infinity	Infinity	-Infinity
142	Infinity	Infinity	-Infinity
143	NaN	NaN	NaN
144	NaN	NaN	NaN
145	NaN	NaN	NaN
146	NaN	NaN	NaN
147	NaN	NaN	NaN
148	NaN	NaN	NaN
149	NaN	NaN	NaN
150	NaN	NaN	NaN
151	NaN	NaN	NaN
152	NaN	NaN	NaN
153	NaN	NaN	NaN
154	NaN	NaN	NaN
155	NaN	NaN	NaN
156	NaN	NaN	NaN
157	NaN	NaN	NaN
158	NaN	NaN	NaN
159	NaN	NaN	NaN
160	NaN	NaN	NaN
161	NaN	NaN	NaN
162	NaN	NaN	NaN
163	NaN	NaN	NaN
164	NaN	NaN	NaN
165	NaN	NaN	NaN
166	NaN	NaN	NaN
167	NaN	NaN	NaN
168	NaN	NaN	NaN
169	NaN	NaN	NaN
170	NaN	NaN	NaN
171	NaN	NaN	NaN
172	NaN	NaN	NaN
173	NaN	NaN	NaN
174	NaN	NaN	NaN
175	NaN	NaN	NaN
176	NaN	NaN	NaN
177	NaN	NaN	NaN
178	NaN	NaN	NaN
179	NaN	NaN	NaN
180	NaN	NaN	NaN
181	NaN	NaN	NaN
182	NaN	NaN	NaN
183	NaN	NaN	NaN
184	NaN	NaN	NaN
185	NaN	NaN	NaN
186	NaN	NaN	NaN
187	NaN	NaN	NaN
188	NaN	NaN	NaN
189	NaN	NaN	NaN
190	NaN	NaN	NaN
191	NaN	NaN	NaN
192	NaN	NaN	NaN
193	NaN	NaN	NaN
194	NaN	NaN	NaN
195	NaN	NaN	NaN
196	NaN	NaN	NaN
197	NaN	NaN	NaN
198	NaN	NaN	NaN
199	NaN	NaN	NaN
200	NaN	NaN	NaN
201	NaN	NaN	NaN
202	NaN	NaN	NaN
203	NaN	NaN	NaN
204	NaN	NaN	NaN
205	NaN	NaN	NaN
206	NaN	NaN	NaN
207	NaN	NaN	NaN
208	NaN	NaN	NaN
209	NaN	NaN	NaN
210	NaN	NaN	NaN
211	NaN	NaN	NaN
212	NaN	NaN	NaN
213	NaN	NaN	NaN
214	NaN	NaN	NaN
215	NaN	NaN	NaN
216	NaN	NaN	NaN
217	NaN	NaN	NaN
218	NaN	NaN	NaN
219	NaN	NaN	NaN
220	NaN	NaN	NaN
221	NaN	NaN	NaN
222	NaN	NaN	NaN
223	NaN	NaN	NaN
224	NaN	NaN	NaN
225	NaN	NaN	NaN
226	NaN	NaN	NaN
227	NaN	NaN	NaN
228	NaN	NaN	NaN
229	NaN	NaN	NaN
230	NaN	NaN	NaN
231	NaN	NaN	NaN
232	NaN	NaN	NaN
233	NaN	NaN	NaN
234	NaN	NaN	NaN
235	NaN	NaN	NaN
236	NaN	NaN	NaN
237	NaN	NaN	NaN
238	NaN	NaN	NaN
239	NaN	NaN	NaN
240	NaN	NaN	NaN
241	NaN	NaN	NaN
242	NaN	NaN	NaN
243	NaN	NaN	NaN
244	NaN	NaN	NaN
245	NaN	NaN	NaN
246	NaN	NaN	NaN
247	NaN	NaN	NaN
248	NaN	NaN	NaN
249	NaN	NaN	NaN
250	NaN	NaN	NaN
251	NaN	NaN	NaN
252	NaN	NaN	NaN
253	NaN	NaN	NaN
254	NaN	NaN	NaN
255	NaN	NaN	NaN
256	NaN	NaN	NaN
257	NaN	NaN	NaN
258	NaN	NaN	NaN
259	NaN	NaN	NaN
260	NaN	NaN	NaN
261	NaN	NaN	NaN
262	NaN	NaN	NaN
263	NaN	NaN	NaN
264	NaN	NaN	NaN
265	NaN	NaN	NaN
266	NaN	NaN	NaN
267	NaN	NaN	NaN
268	NaN	NaN	NaN
269	NaN	NaN	NaN
270	NaN	NaN	NaN
271	NaN	NaN	NaN
272	NaN	NaN	NaN
273	NaN	NaN	NaN
274	NaN	NaN	NaN
275	NaN	NaN	NaN
276	NaN	NaN	NaN
277	NaN	NaN	NaN
278	NaN	NaN	NaN
279	NaN	NaN	NaN
280	NaN	NaN	NaN
281	NaN	NaN	NaN
282	NaN	NaN	NaN
283	NaN	NaN	NaN
284	NaN	NaN	NaN
285	NaN	NaN	NaN
286	NaN	NaN	NaN
287	NaN	NaN	NaN
288	NaN	NaN	NaN
289	NaN	NaN	NaN
290	NaN	NaN	NaN
291	NaN	NaN	NaN
292	NaN	NaN	NaN
293	NaN	NaN	NaN
294	NaN	NaN	NaN
295	NaN	NaN	NaN
296	NaN	NaN	NaN
297	NaN	NaN	NaN
298	NaN	NaN	NaN
299	NaN	NaN	NaN
300	NaN	NaN	NaN
301	NaN	NaN	NaN
302	NaN	NaN	NaN
303	NaN	NaN	NaN
304	NaN	NaN	NaN
305	NaN	NaN	NaN
306	NaN	NaN	NaN
307	NaN	NaN	NaN
308	NaN	NaN	NaN
309	NaN	NaN	NaN
310	NaN	NaN	NaN
311	NaN	NaN	NaN
312	NaN	NaN	NaN
313	NaN	NaN	NaN
314	NaN	NaN	NaN
315	NaN	NaN	NaN
316	NaN	NaN	NaN
317	NaN	NaN	NaN
318	NaN	NaN	NaN
319	NaN	NaN	NaN
320	NaN	NaN	NaN
321	NaN	NaN	NaN
322	NaN	NaN	NaN
323	NaN	NaN	NaN
324	NaN	NaN	NaN
325	NaN	NaN	NaN
326	NaN	NaN	NaN
327	NaN	NaN	NaN
328	NaN	NaN	NaN
329	NaN	NaN	NaN
330	NaN	NaN	NaN
331	NaN	NaN	NaN
332	NaN	NaN	NaN
333	NaN	NaN	NaN
334	NaN	NaN	NaN
335	NaN	NaN	NaN
336	NaN	NaN	NaN
337	NaN	NaN	NaN
338	NaN	NaN	NaN
339	NaN	NaN	NaN
340	NaN	NaN	NaN
341	NaN	NaN	NaN
342	NaN	NaN	NaN
343	NaN	NaN	NaN
344	NaN	NaN	NaN
345	NaN	NaN	NaN
346	NaN	NaN	NaN
347	NaN	NaN	NaN
348	NaN	NaN	NaN
349	NaN	NaN	NaN
350	NaN	NaN	NaN
351	NaN	NaN	NaN
352	NaN	NaN	NaN
353	NaN	NaN	NaN
354	NaN	NaN	NaN
355	NaN	NaN	NaN
356	NaN	NaN	NaN
357	NaN	NaN	NaN
358	NaN	NaN	NaN
359	NaN	NaN	NaN
360	NaN	NaN	NaN
361	NaN	NaN	NaN
362	NaN	NaN	NaN
363	NaN	NaN	NaN
364	NaN	NaN	NaN
365	NaN	NaN	NaN
366	NaN	NaN	NaN
367	NaN	NaN	NaN
368	NaN	NaN	NaN
369	NaN	NaN	NaN
370	NaN	NaN	NaN
371	NaN	NaN	NaN
372	NaN	NaN	NaN
373	NaN	NaN	NaN
374	NaN	NaN	NaN
375	NaN	NaN	NaN
376	NaN	NaN	NaN
377	NaN	NaN	NaN
378	NaN	NaN	NaN
379	NaN	NaN	NaN
380	NaN	NaN	NaN
381	NaN	NaN	NaN
382	NaN	NaN	NaN
383	NaN	NaN	NaN
384	NaN	NaN	NaN
385	NaN	NaN	NaN
386	NaN	NaN	NaN
387	NaN	NaN	NaN
388	NaN	NaN	NaN
389	NaN	NaN	NaN
390	NaN	NaN	NaN
391	NaN	NaN	NaN
392	NaN	NaN	NaN
393	NaN	NaN	NaN
394	NaN	NaN	NaN
395	NaN	NaN	NaN
396	NaN	NaN	NaN
397	NaN	NaN	NaN
398	NaN	NaN	NaN
399	NaN	NaN	NaN
400	NaN	NaN	NaN
401	NaN	NaN	NaN
402	NaN	NaN	NaN
403	NaN	NaN	NaN
404	NaN	NaN	NaN
405	NaN	NaN	NaN
406	NaN	NaN	NaN
407	NaN	NaN	NaN
408	NaN	NaN	NaN
409	NaN	NaN	NaN
410	NaN	NaN	NaN
411	NaN	NaN	NaN
412	NaN	NaN	NaN
413	NaN	NaN	NaN
414	NaN	NaN	NaN
415	NaN	NaN	NaN
416	NaN	NaN	NaN
417	NaN	NaN	NaN
418	NaN	NaN	NaN
419	NaN	NaN	NaN
420	NaN	NaN	NaN
421	NaN	NaN	NaN
422	NaN	NaN	NaN
423	NaN	NaN	NaN
424	NaN	NaN	NaN
425	NaN	NaN	NaN
426	NaN	NaN	NaN
427	NaN	NaN	NaN
428	NaN	NaN	NaN
429	NaN	NaN	NaN
430	NaN	NaN	NaN
431	NaN	NaN	NaN
432	NaN	NaN	NaN
433	NaN	NaN	NaN
434	NaN	NaN	NaN
435	NaN	NaN	NaN
436	NaN	NaN	NaN
437	NaN	NaN	NaN
438	NaN	NaN	NaN
439	NaN	NaN	NaN
440	NaN	NaN	NaN
441	NaN	NaN	NaN
442	NaN	NaN	NaN
443	NaN	NaN	NaN
444	NaN	NaN	NaN
445	NaN	NaN	NaN
446	NaN	NaN	NaN
447	NaN	NaN	NaN
448	NaN	NaN	NaN
449	NaN	NaN	NaN
450	NaN	NaN	NaN
451	NaN	NaN	NaN
452	NaN	NaN	NaN
453	NaN	NaN	NaN
454	NaN	NaN	NaN
455	NaN	NaN	NaN
456	NaN	NaN	NaN
457	NaN	NaN	NaN
458	NaN	NaN	NaN
459	NaN	NaN	NaN
460	NaN	NaN	NaN
461	NaN	NaN	NaN
462	NaN	NaN	NaN
463	NaN	NaN	NaN
464	NaN	NaN	NaN
465	NaN	NaN	NaN
466	NaN	NaN	NaN
467	NaN	NaN	NaN
468	NaN	NaN	NaN
469	NaN	NaN	NaN
470	NaN	NaN	NaN
471	NaN	NaN	NaN
472	NaN	NaN	NaN
473	NaN	NaN	NaN
474	NaN	NaN	NaN
475	NaN	NaN	NaN
476	NaN	NaN	NaN
477	NaN	NaN	NaN
478	NaN	NaN	NaN
479	NaN	NaN	NaN
480	NaN	NaN	NaN
481	NaN	NaN	NaN
482	NaN	NaN	NaN
483	NaN	NaN	NaN
484	NaN	NaN	NaN
485	NaN	NaN	NaN
486	NaN	NaN	NaN
487	NaN	NaN	NaN
488	NaN	NaN	NaN
489	NaN	NaN	NaN
490	NaN	NaN	NaN
491	NaN	NaN	NaN
492	NaN	NaN	NaN
493	NaN	NaN	NaN
494	NaN	NaN	NaN
495	NaN	NaN	NaN
496	NaN	NaN	NaN
497	NaN	NaN	NaN
498	NaN	NaN	NaN
499	NaN	NaN	NaN
500	NaN	NaN	NaN
501	NaN	NaN	NaN
502	NaN	NaN	NaN
503	NaN	NaN	NaN
504	NaN	NaN	NaN
505	NaN	NaN	NaN
506	NaN	NaN	NaN
507	NaN	NaN	NaN
508	NaN	NaN	NaN
509	NaN	NaN	NaN
510	NaN	NaN	NaN
511	NaN	NaN	NaN
512	NaN	NaN	NaN
513	NaN	NaN	NaN
514	NaN	NaN	NaN
515	NaN	NaN	NaN
516	NaN	NaN	NaN
517	NaN	NaN	NaN
518	NaN	NaN	NaN
519	NaN	NaN	NaN
520	NaN	NaN	NaN
521	NaN	NaN	NaN
522	NaN	NaN	NaN
523	NaN	NaN	NaN
524	NaN	NaN	NaN
525	NaN	NaN	NaN
526	NaN	NaN	NaN
527	NaN	NaN	NaN
528	NaN	NaN	NaN
529	NaN	NaN	NaN
530	NaN	NaN	NaN
531	NaN	NaN	NaN
532	NaN	NaN	NaN
533	NaN	NaN	NaN
534	NaN	NaN	NaN
535	NaN	NaN	NaN
536	NaN	NaN	NaN
537	NaN	NaN	NaN
538	NaN	NaN	NaN
539	NaN	NaN	NaN
540	NaN	NaN	NaN
541	NaN	NaN	NaN
542	NaN	NaN	NaN
543	NaN	NaN	NaN
544	NaN	NaN	NaN
545	NaN	NaN	NaN
546	NaN	NaN	NaN
547	NaN	NaN	NaN
548	NaN	NaN	NaN
549	NaN	NaN	NaN
550	NaN	NaN	NaN
551	NaN	NaN	NaN
552	NaN	NaN	NaN
553	NaN	NaN	NaN
554	NaN	NaN	NaN
555	NaN	NaN	NaN
556	NaN	NaN	NaN
557	NaN	NaN	NaN
558	NaN	NaN	NaN
559	NaN	NaN	NaN
560	NaN	NaN	NaN
561	NaN	NaN	NaN
562	NaN	NaN	NaN
563	NaN	NaN	NaN
564	NaN	NaN	NaN
565	NaN	NaN	NaN
566	NaN	NaN	NaN
567	NaN	NaN	NaN
568	NaN	NaN	NaN
569	NaN	NaN	NaN
570	NaN	NaN	NaN
571	NaN	NaN	NaN
572	NaN	NaN	NaN
573	NaN	NaN	NaN
574	NaN	NaN	NaN
575	NaN	NaN	NaN
576	NaN	NaN	NaN
577	NaN	NaN	NaN
578	NaN	NaN	NaN
579	NaN	NaN	NaN
580	NaN	NaN	NaN
581	NaN	NaN	NaN
582	NaN	NaN	NaN
583	NaN	NaN	NaN
584	NaN	NaN	NaN
585	NaN	NaN	NaN
586	NaN	NaN	NaN
587	NaN	NaN	NaN
588	NaN	NaN	NaN
589	NaN	NaN	NaN
590	NaN	NaN	NaN
591	NaN	NaN	NaN
592	NaN	NaN	NaN
593	NaN	NaN	NaN
594	NaN	NaN	NaN
595	NaN	NaN	NaN
596	NaN	NaN	NaN
597	NaN	NaN	NaN
598	NaN	NaN	NaN
599	NaN	NaN	NaN
600	NaN	NaN	NaN
601	NaN	NaN	NaN
602	NaN	NaN	NaN
603	NaN	NaN	NaN
604	NaN	NaN	NaN
605	NaN	NaN	NaN
606	NaN	NaN	NaN
607	NaN	NaN	NaN
608	NaN	NaN	NaN
609	NaN	NaN	NaN
610	NaN	NaN	NaN
611	NaN	NaN	NaN
612	NaN	NaN	NaN
613	NaN	NaN	NaN
614	NaN	NaN	NaN
615	NaN	NaN	NaN
616	NaN	NaN	NaN
617	NaN	NaN	NaN
618	NaN	NaN	NaN
619	NaN	NaN	NaN
620	NaN	NaN	NaN
621	NaN	NaN	NaN
622	NaN	NaN	NaN
623	NaN	NaN	NaN
624	NaN	NaN	NaN
625	NaN	NaN	NaN
626	NaN	NaN	NaN
627	NaN	NaN	NaN
628	NaN	NaN	NaN
629	NaN	NaN	NaN
630	NaN	NaN	NaN
631	NaN	NaN	NaN
632	NaN	NaN	NaN
633	NaN	NaN	NaN
634	NaN	NaN	NaN
635	NaN	NaN	NaN
636	NaN	NaN	NaN
637	NaN	NaN	NaN
638	NaN	NaN	NaN
639	NaN	NaN	NaN
640	NaN	NaN	NaN
641	NaN	NaN	NaN
642	NaN	NaN	NaN
643	NaN	NaN	NaN
644	NaN	NaN	NaN
645	NaN	NaN	NaN
646	NaN	NaN	NaN
647	NaN	NaN	NaN
648	NaN	NaN	NaN
649	NaN	NaN	NaN
650	NaN	NaN	NaN
651	NaN	NaN	NaN
652	NaN	NaN	NaN
653	NaN	NaN	NaN
654	NaN	NaN	NaN
655	NaN	NaN	NaN
656	NaN	NaN	NaN
657	NaN	NaN	NaN
658	NaN	NaN	NaN
659	NaN	NaN	NaN
660	NaN	NaN	NaN
661	NaN	NaN	NaN
662	NaN	NaN	NaN
663	NaN	NaN	NaN
664	NaN	NaN	NaN
665	NaN	NaN	NaN
666	NaN	NaN	NaN
667	NaN	NaN	NaN
668	NaN	NaN	NaN
669	NaN	NaN	NaN
670	NaN	NaN	NaN
671	NaN	NaN	NaN
672	NaN	NaN	NaN
673	NaN	NaN	NaN
674	NaN	NaN	NaN
675	NaN	NaN	NaN
676	NaN	NaN	NaN
677	NaN	NaN	NaN
678	NaN	NaN	NaN
679	NaN	NaN	NaN
680	NaN	NaN	NaN
681	NaN	NaN	NaN
682	NaN	NaN	NaN
683	NaN	NaN	NaN
684	NaN	NaN	NaN
685	NaN	NaN	NaN
686	NaN	NaN	NaN
687	NaN	NaN	NaN
688	NaN	NaN	NaN
689	NaN	NaN	NaN
690	NaN	NaN	NaN
691	NaN	NaN	NaN
692	NaN	NaN	NaN
693	NaN	NaN	NaN
694	NaN	NaN	NaN
695	NaN	NaN	NaN
696	NaN	NaN	NaN
697	NaN	NaN	NaN
698	NaN	NaN	NaN
699	NaN	NaN	NaN
700	NaN	NaN	NaN
701	NaN	NaN	NaN
702	NaN	NaN	NaN
703	NaN	NaN	NaN
704	NaN	NaN	NaN
705	NaN	NaN	NaN
706	NaN	NaN	NaN
707	NaN	NaN	NaN
708	NaN	NaN	NaN
709	NaN	NaN	NaN
710	NaN	NaN	NaN
711	NaN	NaN	NaN
712	NaN	NaN	NaN
713	NaN	NaN	NaN
714	NaN	NaN	NaN
715	NaN	NaN	NaN
716	NaN	NaN	NaN
717	NaN	NaN	NaN
718	NaN	NaN	NaN
719	NaN	NaN	NaN
720	NaN	NaN	NaN
721	NaN	NaN	NaN
722	NaN	NaN	NaN
723	NaN	NaN	NaN
724	NaN	NaN	NaN
725	NaN	NaN	NaN
726	NaN	NaN	NaN
727	NaN	NaN	NaN
728	NaN	NaN	NaN
729	NaN	NaN	NaN
730	NaN	NaN	NaN
731	NaN	NaN	NaN
732	NaN	NaN	NaN
733	NaN	NaN	NaN
734	NaN	NaN	NaN
735	NaN	NaN	NaN
736	NaN	NaN	NaN
737	NaN	NaN	NaN
738	NaN	NaN	NaN
739	NaN	NaN	NaN
740	NaN	NaN	NaN
741	NaN	NaN	NaN
742	NaN	NaN	NaN
743	NaN	NaN	NaN
744	NaN	NaN	NaN
745	NaN	NaN	NaN
746	NaN	NaN	NaN
747	NaN	NaN	NaN
748	NaN	NaN	NaN
749	NaN	NaN	NaN
750	NaN	NaN	NaN
751	NaN	NaN	NaN
752	NaN	NaN	NaN
753	NaN	NaN	NaN
754	NaN	NaN	NaN
755	NaN	NaN	NaN
756	NaN	NaN	NaN
757	NaN	NaN	NaN
758	NaN	NaN	NaN
759	NaN	NaN	NaN
760	NaN	NaN	NaN
761	NaN	NaN	NaN
762	NaN	NaN	NaN
763	NaN	NaN	NaN
764	NaN	NaN	NaN
765	NaN	NaN	NaN
766	NaN	NaN	NaN
767	NaN	NaN	NaN
768	NaN	NaN	NaN
769	NaN	NaN	NaN
770	NaN	NaN	NaN
771	NaN	NaN	NaN
772	NaN	NaN	NaN
773	NaN	NaN	NaN
774	NaN	NaN	NaN
775	NaN	NaN	NaN
776	NaN	NaN	NaN
777	NaN	NaN	NaN
778	NaN	NaN	NaN
779	NaN	NaN	NaN
780	NaN	NaN	NaN
781	NaN	NaN	NaN
782	NaN	NaN	NaN
783	NaN	NaN	NaN
784	NaN	NaN	NaN
785	NaN	NaN	NaN
786	NaN	NaN	NaN
787	NaN	NaN	NaN
788	NaN	NaN	NaN
789	NaN	NaN	NaN
790	NaN	NaN	NaN
791	NaN	NaN	NaN
792	NaN	NaN	NaN
793	NaN	NaN	NaN
794	NaN	NaN	NaN
795	NaN	NaN	NaN
796	NaN	NaN	NaN
797	NaN	NaN	NaN
798	NaN	NaN	NaN
799	NaN	NaN	NaN
800	NaN	NaN	NaN
801	NaN	NaN	NaN
802	NaN	NaN	NaN
803	NaN	NaN	NaN
804	NaN	NaN	NaN
805	NaN	NaN	NaN
806	NaN	NaN	NaN
807	NaN	NaN	NaN
808	NaN	NaN	NaN
809	NaN	NaN	NaN
810	NaN	NaN	NaN
811	NaN	NaN	NaN
812	NaN	NaN	NaN
813	NaN	NaN	NaN
814	NaN	NaN	NaN
815	NaN	NaN	NaN
816	NaN	NaN	NaN
817	NaN	NaN	NaN
818	NaN	NaN	NaN
819	NaN	NaN	NaN
820	NaN	NaN	NaN
821	NaN	NaN	NaN
822	NaN	NaN	NaN
823	NaN	NaN	NaN
824	NaN	NaN	NaN
825	NaN	NaN	NaN
826	NaN	NaN	NaN
827	NaN	NaN	NaN
828	NaN	NaN	NaN
829	NaN	NaN	NaN
830	NaN	NaN	NaN
831	NaN	NaN	NaN
832	NaN	NaN	NaN
833	NaN	NaN	NaN
834	NaN	NaN	NaN
835	NaN	NaN	NaN
836	NaN	NaN	NaN
837	NaN	NaN	NaN
838	NaN	NaN	NaN
839	NaN	NaN	NaN
840	NaN	NaN	NaN
841	NaN	NaN	NaN
842	NaN	NaN	NaN
843	NaN	NaN	NaN
844	NaN	NaN	NaN
845	NaN	NaN	NaN
846	NaN	NaN	NaN
847	NaN	NaN	NaN
848	NaN	NaN	NaN
849	NaN	NaN	NaN
850	NaN	NaN	NaN
851	NaN	NaN	NaN
852	NaN	NaN	NaN
853	NaN	NaN	NaN
854	NaN	NaN	NaN
855	NaN	NaN	NaN
856	NaN	NaN	NaN
857	NaN	NaN	NaN
858	NaN	NaN	NaN
859	NaN	NaN	NaN
860	NaN	NaN	NaN
861	NaN	NaN	NaN
862	NaN	NaN	NaN
863	NaN	NaN	NaN
864	NaN	NaN	NaN
865	NaN	NaN	NaN
866	NaN	NaN	NaN
867	NaN	NaN	NaN
868	NaN	NaN	NaN
869	NaN	NaN	NaN
870	NaN	NaN	NaN
871	NaN	NaN	NaN
872	NaN	NaN	NaN
873	NaN	NaN	NaN
874	NaN	NaN	NaN
875	NaN	NaN	NaN
876	NaN	NaN	NaN
877	NaN	NaN	NaN
878	NaN	NaN	NaN
879	NaN	NaN	NaN
